step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
10400,343.0771083831787,20,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007667033467441797,0.0,0.0,0.007667033467441797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024329885840416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10600,367.7412283420563,21,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007468180265277624,0.0,0.0,0.007468180265277624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05091867595911026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10800,371.24732875823975,21,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007388264872133732,0.0,0.0,0.007388264872133732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10222415626049042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,374.753591299057,21,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007179688662290573,0.0,0.0,0.007179688662290573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600991889834404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11200,380.6855218410492,22,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007334875874221325,0.0,0.0,0.007334875874221325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04066755250096321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400,384.19053387641907,22,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0065992302261292934,0.0,0.0,0.0065992302261292934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876435667276382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11600,390.1988399028778,23,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00727029237896204,0.0,0.0,0.00727029237896204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06657829880714417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11800,393.69327688217163,23,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00699883047491312,0.0,0.0,0.00699883047491312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06426206231117249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,397.1896209716797,23,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006869322154670954,0.0,0.0,0.006869322154670954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04416785016655922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12200,421.95426535606384,24,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007189567666500807,0.0,0.0,0.007189567666500807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08316393941640854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12400,425.45883107185364,24,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006902980152517557,0.0,0.0,0.006902980152517557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04928490146994591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12600,431.3906829357147,25,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0070336549542844296,0.0,0.0,0.0070336549542844296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368630476295948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12800,434.89574933052063,25,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006393485702574253,0.0,0.0,0.006393485702574253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026987962424755096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000,438.3914475440979,25,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006603793241083622,0.0,0.0,0.006603793241083622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06444168835878372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13200,444.30871987342834,26,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006761941593140364,0.0,0.0,0.006761941593140364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02627110667526722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13400,447.80909633636475,26,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006730668246746063,0.0,0.0,0.006730668246746063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05085913836956024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
